,Cycle,Joint,Angle_x,Angle_y,Angle_z,Flex_Ext_Angle,subject,avg_flex
148,49.0,l_ankle,30.351529356353474,-16.79349495439905,-2.627339886519054,59.64501955522083,1,59.23712077580153
149,50.0,l_ankle,29.93041959078582,-16.736948215752594,-2.565430975927586,60.06960486045705,1,59.640674164803386
150,51.0,l_ankle,29.497326317748417,-16.676973247085947,-2.5326022707519007,60.50952695661726,1,60.049281632276546
151,52.0,l_ankle,29.06577320446761,-16.639515732165297,-2.52494957595495,60.93425124677524,1,60.454740633697796
152,53.0,l_ankle,28.6494272325915,-16.649017687144962,-2.5372685763722633,61.347121678982795,1,60.86538905305467
153,54.0,l_ankle,28.243176313467792,-16.70568069721109,-2.566786305676713,61.753372598106495,1,61.28829197655192
154,55.0,l_ankle,27.83264700968022,-16.78767845110495,-2.61274408579802,62.167377441562614,1,61.72954162637315
155,56.0,l_ankle,27.402445851620254,-16.864149372157307,-2.671768665149877,62.604407422745425,1,62.19352546694637
156,57.0,l_ankle,26.938583396952446,-16.9084977194025,-2.733691133601564,63.06144105429042,1,62.67563795520053
157,58.0,l_ankle,26.44665486826086,-16.91724616463629,-2.7844260907794602,63.54989404331345,1,63.17903160668078
158,59.0,l_ankle,25.934531626875554,-16.900320719837666,-2.8110566153271943,64.06201728469875,1,63.698965241466325
159,60.0,l_ankle,25.411577629647336,-16.877395667830772,-2.812010558899482,64.58844682159555,1,64.23020136916094
160,61.0,l_ankle,24.88319225848329,-16.867892451185224,-2.8024260040982814,65.1236610158824,1,64.77272885963093
161,62.0,l_ankle,24.344373381179825,-16.879098405334958,-2.806325690014613,65.655651070063,1,65.32133459346164
162,63.0,l_ankle,23.79530770719212,-16.9124199932758,-2.8400867302956327,66.20124120438219,1,65.885846556264
163,64.0,l_ankle,23.23145619897635,-16.957524128816026,-2.898581903774809,66.76509271259793,1,66.46681925911817
164,65.0,l_ankle,22.651388512436643,-17.003689248996974,-2.9608703369050744,67.34863593880624,1,67.06232361939806
165,66.0,l_ankle,22.057684019100012,-17.045925437477457,-3.004615516646357,67.94916925526569,1,67.6697057125046
